match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
Sunrisers Hyderabad Vs Mumbai Indians,Sunrisers Hyderabad,3,Mayank Agarwal,5,6,1,0,83.33,out,8
Sunrisers Hyderabad Vs Mumbai Indians,Sunrisers Hyderabad,2,Abhishek Sharma,11,16,0,1,68.75,out,8
Sunrisers Hyderabad Vs Mumbai Indians,Sunrisers Hyderabad,1,Travis Head,48,30,7,1,160.00,out,8
Delhi Capitals Vs Rajasthan Royals,Rajasthan Royals,10,Avesh Khan,7,3,1,0,233.33,not_out,9
Delhi Capitals Vs Rajasthan Royals,Rajasthan Royals,9,Trent Boult,2,3,0,0,66.66,not_out,9
Delhi Capitals Vs Rajasthan Royals,Rajasthan Royals,8,Ravichandran Ashwin,2,3,0,0,66.66,out,9
Delhi Capitals Vs Rajasthan Royals,Rajasthan Royals,7,Donovan Ferreira,1,3,0,0,33.33,out,9
Delhi Capitals Vs Rajasthan Royals,Rajasthan Royals,6,Rovman Powell,13,10,1,1,130.00,out,9
Delhi Capitals Vs Rajasthan Royals,Rajasthan Royals,5,Shubham Dubey,25,12,2,2,208.33,out,9
Delhi Capitals Vs Rajasthan Royals,Rajasthan Royals,4,Riyan Parag,27,22,1,3,122.72,out,9
Delhi Capitals Vs Rajasthan Royals,Rajasthan Royals,3,Sanju Samson (c),86,46,8,6,186.95,out,9
Delhi Capitals Vs Rajasthan Royals,Rajasthan Royals,2,Jos Buttler,19,17,2,1,111.76,out,9
Delhi Capitals Vs Rajasthan Royals,Rajasthan Royals,1,Yashasvi Jaiswal,4,2,1,0,200.00,out,9
Delhi Capitals Vs Rajasthan Royals,Delhi Capitals,9,Kuldeep Yadav,5,2,1,0,250.00,not_out,9
Delhi Capitals Vs Rajasthan Royals,Delhi Capitals,8,Rasikh Salam,9,3,2,0,300.00,out,9
Delhi Capitals Vs Rajasthan Royals,Delhi Capitals,7,Gulbadin Naib,19,15,1,1,126.66,out,9
Delhi Capitals Vs Rajasthan Royals,Delhi Capitals,6,Tristan Stubbs,41,20,3,3,205.00,out,9
Delhi Capitals Vs Rajasthan Royals,Delhi Capitals,5,Rishabh Pant (c),15,13,0,1,115.38,out,9
Delhi Capitals Vs Rajasthan Royals,Delhi Capitals,4,Axar Patel,15,10,1,1,150.00,out,9
Delhi Capitals Vs Rajasthan Royals,Delhi Capitals,3,Shai Hope,1,1,0,0,100.00,out,9
Delhi Capitals Vs Rajasthan Royals,Delhi Capitals,2,Abishek Porel,65,36,7,3,180.55,out,9
Delhi Capitals Vs Rajasthan Royals,Delhi Capitals,1,Jake Fraser-McGurk,50,20,7,3,250.00,out,9
Lucknow Super Giants Vs Sunrisers Hyderabad,Sunrisers Hyderabad,2,Travis Head,89,30,8,8,296.66,not_out,42
Lucknow Super Giants Vs Sunrisers Hyderabad,Sunrisers Hyderabad,1,Abhishek Sharma,75,28,8,6,267.85,not_out,42
Lucknow Super Giants Vs Sunrisers Hyderabad,Lucknow Super Giants,6,Ayush Badoni,55,30,9,0,183.33,not_out,42
Lucknow Super Giants Vs Sunrisers Hyderabad,Lucknow Super Giants,5,Nicholas Pooran,48,26,6,1,184.61,not_out,42
Lucknow Super Giants Vs Sunrisers Hyderabad,Lucknow Super Giants,4,Krunal Pandya,24,21,0,2,114.28,out,42
Lucknow Super Giants Vs Sunrisers Hyderabad,Lucknow Super Giants,3,Marcus Stoinis,3,5,0,0,60.00,out,42
Lucknow Super Giants Vs Sunrisers Hyderabad,Lucknow Super Giants,2,Quinton de Kock,2,5,0,0,40.00,out,42
Lucknow Super Giants Vs Sunrisers Hyderabad,Lucknow Super Giants,1,KL Rahul (c),29,33,1,1,87.87,out,42
Royal Challengers Bengaluru Vs Punjab Kings,Punjab Kings,11,Arshdeep Singh,4,3,1,0,133.33,out,6
Royal Challengers Bengaluru Vs Punjab Kings,Punjab Kings,10,Rahul Chahar,5,5,1,0,100.00,not_out,6
Royal Challengers Bengaluru Vs Punjab Kings,Punjab Kings,9,Harshal Patel,0,1,0,0,0.00,out,6
Royal Challengers Bengaluru Vs Punjab Kings,Punjab Kings,8,Ashutosh Sharma,8,5,0,1,160.00,out,6
Royal Challengers Bengaluru Vs Punjab Kings,Punjab Kings,7,Sam Curran (c),22,16,2,0,137.50,out,6
Royal Challengers Bengaluru Vs Punjab Kings,Punjab Kings,6,Liam Livingstone,0,2,0,0,0.00,out,6
Royal Challengers Bengaluru Vs Punjab Kings,Punjab Kings,5,Jitesh Sharma,5,4,1,0,125.00,out,6
Royal Challengers Bengaluru Vs Punjab Kings,Punjab Kings,4,Shashank Singh,37,19,4,2,194.73,out,6
Royal Challengers Bengaluru Vs Punjab Kings,Punjab Kings,3,Rilee Rossouw,61,27,9,3,225.92,out,6
Royal Challengers Bengaluru Vs Punjab Kings,Punjab Kings,2,Jonny Bairstow ,27,16,4,1,168.75,out,6
Royal Challengers Bengaluru Vs Punjab Kings,Punjab Kings,1,Prabhsimran Singh,6,4,1,0,150.00,out,6
Royal Challengers Bengaluru Vs Punjab Kings,Royal Challengers Bengaluru,8,Swapnil Singh,1,1,0,0,100.00,not_out,6
Royal Challengers Bengaluru Vs Punjab Kings,Royal Challengers Bengaluru,7,Mahipal Lomror,0,2,0,0,0.00,out,6
Royal Challengers Bengaluru Vs Punjab Kings,Royal Challengers Bengaluru,6,Dinesh Karthik ,18,7,1,2,257.14,out,6
Royal Challengers Bengaluru Vs Punjab Kings,Royal Challengers Bengaluru,5,Cameron Green,46,27,5,1,170.37,out,6
Royal Challengers Bengaluru Vs Punjab Kings,Royal Challengers Bengaluru,4,Rajat Patidar,55,23,3,6,239.13,out,6
Royal Challengers Bengaluru Vs Punjab Kings,Royal Challengers Bengaluru,3,Will Jacks,12,7,1,1,171.42,out,6
Royal Challengers Bengaluru Vs Punjab Kings,Royal Challengers Bengaluru,2,Faf du Plessis (c),9,7,2,0,128.57,out,6
Royal Challengers Bengaluru Vs Punjab Kings,Royal Challengers Bengaluru,1,Virat Kohli,92,47,7,6,195.74,out,6
Gujarat Titans Vs Chennai Super Kings,Chennai Super Kings,10,Shardul Thakur,3,4,0,0,75.00,not_out,7
Gujarat Titans Vs Chennai Super Kings,Chennai Super Kings,9,Mitchell Santner,0,2,0,0,0.00,out,7
Gujarat Titans Vs Chennai Super Kings,Chennai Super Kings,8,MS Dhoni ,26,11,1,3,236.36,not_out,7
Gujarat Titans Vs Chennai Super Kings,Chennai Super Kings,7,Ravindra Jadeja,18,10,2,1,180.00,out,7
Gujarat Titans Vs Chennai Super Kings,Chennai Super Kings,6,Shivam Dube,21,13,2,1,161.53,out,7
Gujarat Titans Vs Chennai Super Kings,Chennai Super Kings,5,Moeen Ali,56,36,4,4,155.55,out,7
Gujarat Titans Vs Chennai Super Kings,Chennai Super Kings,4,Daryl Mitchell,63,34,7,3,185.29,out,7
Gujarat Titans Vs Chennai Super Kings,Chennai Super Kings,3,Ruturaj Gaikwad (c),0,3,0,0,0.00,out,7
Gujarat Titans Vs Chennai Super Kings,Chennai Super Kings,2,Rachin Ravindra,1,2,0,0,50.00,out,7
Gujarat Titans Vs Chennai Super Kings,Chennai Super Kings,1,Ajinkya Rahane,1,5,0,0,20.00,out,7
Gujarat Titans Vs Chennai Super Kings,Gujarat Titans,4,M Shahrukh Khan,2,3,0,0,66.66,out,7
Gujarat Titans Vs Chennai Super Kings,Gujarat Titans,3,David Miller,16,11,1,0,145.45,not_out,7
Gujarat Titans Vs Chennai Super Kings,Gujarat Titans,2,Shubman Gill (c),104,55,9,6,189.09,out,7
Gujarat Titans Vs Chennai Super Kings,Gujarat Titans,1,Sai Sudharsan,103,51,5,7,201.96,out,7
Kolkata Knight Riders Vs Mumbai Indians,Mumbai Indians,10,Piyush Chawla,1,2,0,0,50.00,not_out,41
Kolkata Knight Riders Vs Mumbai Indians,Mumbai Indians,9,Anshul Kamboj,2,2,0,0,100.00,not_out,41
Kolkata Knight Riders Vs Mumbai Indians,Mumbai Indians,8,Naman Dhir,17,6,1,2,283.33,out,41
Kolkata Knight Riders Vs Mumbai Indians,Mumbai Indians,7,Nehal Wadhera,3,3,0,0,100.00,out,41
Kolkata Knight Riders Vs Mumbai Indians,Mumbai Indians,6,Tim David,0,3,0,0,0.00,out,41
Kolkata Knight Riders Vs Mumbai Indians,Mumbai Indians,5,Hardik Pandya (c),2,4,0,0,50.00,out,41
Kolkata Knight Riders Vs Mumbai Indians,Mumbai Indians,4,Tilak Varma,32,17,5,1,188.23,out,41
Kolkata Knight Riders Vs Mumbai Indians,Mumbai Indians,3,Suryakumar Yadav,11,14,1,0,78.57,out,41
Kolkata Knight Riders Vs Mumbai Indians,Mumbai Indians,2,Rohit Sharma,19,24,1,1,79.16,out,41
Kolkata Knight Riders Vs Mumbai Indians,Mumbai Indians,1,Ishan Kishan ,40,22,5,2,181.81,out,41
Kolkata Knight Riders Vs Mumbai Indians,Kolkata Knight Riders,9,Mitchell Starc,2,2,0,0,100.00,not_out,41
Kolkata Knight Riders Vs Mumbai Indians,Kolkata Knight Riders,8,Ramandeep Singh,17,8,1,1,212.50,not_out,41
Kolkata Knight Riders Vs Mumbai Indians,Kolkata Knight Riders,7,Rinku Singh,20,12,0,2,166.66,out,41
Kolkata Knight Riders Vs Mumbai Indians,Kolkata Knight Riders,6,Andre Russell,24,14,2,2,171.42,out,41
Kolkata Knight Riders Vs Mumbai Indians,Kolkata Knight Riders,5,Nitish Rana,33,23,4,1,143.47,out,41
Kolkata Knight Riders Vs Mumbai Indians,Kolkata Knight Riders,4,Shreyas Iyer (c),7,10,1,0,70.00,out,41
Kolkata Knight Riders Vs Mumbai Indians,Kolkata Knight Riders,3,Venkatesh Iyer,42,21,6,2,200.00,out,41
Kolkata Knight Riders Vs Mumbai Indians,Kolkata Knight Riders,2,Sunil Narine,0,1,0,0,0.00,out,41
Kolkata Knight Riders Vs Mumbai Indians,Kolkata Knight Riders,1,Phil Salt ,6,5,0,1,120.00,out,41
Rajasthan Royals Vs Chennai Super Kings,Chennai Super Kings,7,Sameer Rizvi,15,8,3,0,187.50,not_out,43
Rajasthan Royals Vs Chennai Super Kings,Chennai Super Kings,6,Ravindra Jadeja,5,6,0,0,83.33,out,43
Rajasthan Royals Vs Chennai Super Kings,Chennai Super Kings,5,Shivam Dube,18,11,2,1,163.63,out,43
Rajasthan Royals Vs Chennai Super Kings,Chennai Super Kings,4,Moeen Ali,10,13,0,0,76.92,out,43
Rajasthan Royals Vs Chennai Super Kings,Chennai Super Kings,3,Daryl Mitchell,22,13,4,0,169.23,out,43
Rajasthan Royals Vs Chennai Super Kings,Chennai Super Kings,2,Ruturaj Gaikwad (c),42,41,1,2,102.43,not_out,43
Rajasthan Royals Vs Chennai Super Kings,Chennai Super Kings,1,Rachin Ravindra,27,18,1,2,150.00,out,43
Rajasthan Royals Vs Chennai Super Kings,Rajasthan Royals,7,Ravichandran Ashwin,1,1,0,0,100.00,not_out,43
Rajasthan Royals Vs Chennai Super Kings,Rajasthan Royals,6,Shubham Dubey,0,1,0,0,0.00,out,43
Rajasthan Royals Vs Chennai Super Kings,Rajasthan Royals,5,Dhruv Jurel,28,18,1,2,155.55,out,43
Rajasthan Royals Vs Chennai Super Kings,Rajasthan Royals,4,Riyan Parag,47,35,1,3,134.28,not_out,43
Rajasthan Royals Vs Chennai Super Kings,Rajasthan Royals,3,Sanju Samson (c),15,19,0,0,78.94,out,43
Rajasthan Royals Vs Chennai Super Kings,Rajasthan Royals,2,Jos Buttler,21,25,2,0,84.00,out,43
Rajasthan Royals Vs Chennai Super Kings,Rajasthan Royals,1,Yashasvi Jaiswal,24,21,3,1,114.28,out,43
Royal Challengers Bengaluru Vs Delhi Capitals,Delhi Capitals,11,Ishant Sharma,0,4,0,0,0.00,not_out,44
Royal Challengers Bengaluru Vs Delhi Capitals,Delhi Capitals,10,Mukesh Kumar,3,7,0,0,42.85,out,44
Royal Challengers Bengaluru Vs Delhi Capitals,Delhi Capitals,9,Kuldeep Yadav,6,10,0,0,60.00,out,44
Royal Challengers Bengaluru Vs Delhi Capitals,Delhi Capitals,8,Rasikh Salam,10,12,1,0,83.33,out,44
Royal Challengers Bengaluru Vs Delhi Capitals,Delhi Capitals,7,Tristan Stubbs,3,4,0,0,75.00,out,44
Royal Challengers Bengaluru Vs Delhi Capitals,Delhi Capitals,6,Axar Patel (c),57,39,5,3,146.15,out,44
Royal Challengers Bengaluru Vs Delhi Capitals,Delhi Capitals,5,Kumar Kushagra,2,3,0,0,66.66,out,44
Royal Challengers Bengaluru Vs Delhi Capitals,Delhi Capitals,4,Shai Hope,29,23,4,0,126.08,out,44
Royal Challengers Bengaluru Vs Delhi Capitals,Delhi Capitals,3,Abishek Porel ,2,3,0,0,66.66,out,44
Royal Challengers Bengaluru Vs Delhi Capitals,Delhi Capitals,2,Jake Fraser-McGurk,21,8,2,2,262.50,out,44
Royal Challengers Bengaluru Vs Delhi Capitals,Delhi Capitals,1,David Warner,1,2,0,0,50.00,out,44
Royal Challengers Bengaluru Vs Delhi Capitals,Royal Challengers Bengaluru,10,Mohammed Siraj,0,0,0,0,-,out,44
Royal Challengers Bengaluru Vs Delhi Capitals,Royal Challengers Bengaluru,9,Karn Sharma,6,4,1,0,150.00,out,44
Royal Challengers Bengaluru Vs Delhi Capitals,Royal Challengers Bengaluru,8,Swapnil Singh,0,1,0,0,0.00,out,44
Royal Challengers Bengaluru Vs Delhi Capitals,Royal Challengers Bengaluru,7,Dinesh Karthik ,0,2,0,0,0.00,out,44
Royal Challengers Bengaluru Vs Delhi Capitals,Royal Challengers Bengaluru,6,Mahipal Lomror,13,8,0,1,162.50,out,44
Royal Challengers Bengaluru Vs Delhi Capitals,Royal Challengers Bengaluru,5,Cameron Green,32,24,1,2,133.33,not_out,44
Royal Challengers Bengaluru Vs Delhi Capitals,Royal Challengers Bengaluru,4,Rajat Patidar,52,32,3,3,162.50,out,44
Royal Challengers Bengaluru Vs Delhi Capitals,Royal Challengers Bengaluru,3,Will Jacks,41,29,3,2,141.37,out,44
Royal Challengers Bengaluru Vs Delhi Capitals,Royal Challengers Bengaluru,2,Faf du Plessis (c),6,7,1,0,85.71,out,44
Royal Challengers Bengaluru Vs Delhi Capitals,Royal Challengers Bengaluru,1,Virat Kohli,27,13,1,3,207.69,out,44
Delhi Capitals Vs Lucknow Super Giants,Lucknow Super Giants,11,Naveen-ul-Haq,2,4,0,0,50.00,not_out,26
Delhi Capitals Vs Lucknow Super Giants,Lucknow Super Giants,10,Ravi Bishnoi,2,2,0,0,100.00,out,26
