match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
Delhi Capitals Vs Lucknow Super Giants,Delhi Capitals,5,Tristan Stubbs,57,25,3,4,228.00,not_out,26
Delhi Capitals Vs Lucknow Super Giants,Delhi Capitals,4,Rishabh Pant (c),33,23,5,0,143.47,out,26
Delhi Capitals Vs Lucknow Super Giants,Delhi Capitals,3,Shai Hope,38,27,3,2,140.74,out,26
Delhi Capitals Vs Lucknow Super Giants,Delhi Capitals,2,Abishek Porel,58,33,5,4,175.75,out,26
Delhi Capitals Vs Lucknow Super Giants,Delhi Capitals,1,Jake Fraser-McGurk,0,2,0,0,0.00,out,26
Rajasthan Royals Vs Punjab Kings,Punjab Kings,7,Ashutosh Sharma,17,11,1,1,154.54,not_out,27
Rajasthan Royals Vs Punjab Kings,Punjab Kings,6,Jitesh Sharma,22,20,0,2,110.00,out,27
Rajasthan Royals Vs Punjab Kings,Punjab Kings,5,Sam Curran (c),63,41,5,3,153.65,not_out,27
Rajasthan Royals Vs Punjab Kings,Punjab Kings,4,Shashank Singh,0,2,0,0,0.00,out,27
Rajasthan Royals Vs Punjab Kings,Punjab Kings,3,Rilee Rossouw,22,13,5,0,169.23,out,27
Rajasthan Royals Vs Punjab Kings,Punjab Kings,2,Jonny Bairstow ,14,22,1,0,63.63,out,27
Rajasthan Royals Vs Punjab Kings,Punjab Kings,1,Prabhsimran Singh,6,4,1,0,150.00,out,27
Rajasthan Royals Vs Punjab Kings,Rajasthan Royals,10,Avesh Khan,3,2,0,0,150.00,not_out,27
Rajasthan Royals Vs Punjab Kings,Rajasthan Royals,9,Trent Boult,12,9,2,0,133.33,out,27
Rajasthan Royals Vs Punjab Kings,Rajasthan Royals,8,Donovan Ferreira,7,8,0,0,87.50,out,27
Rajasthan Royals Vs Punjab Kings,Rajasthan Royals,7,Rovman Powell,4,5,1,0,80.00,out,27
Rajasthan Royals Vs Punjab Kings,Rajasthan Royals,6,Dhruv Jurel,0,1,0,0,0.00,out,27
Rajasthan Royals Vs Punjab Kings,Rajasthan Royals,5,Ravichandran Ashwin,28,19,3,1,147.36,out,27
Rajasthan Royals Vs Punjab Kings,Rajasthan Royals,4,Riyan Parag,48,34,6,0,141.17,out,27
Rajasthan Royals Vs Punjab Kings,Rajasthan Royals,3,Sanju Samson (c),18,15,3,0,120.00,out,27
Rajasthan Royals Vs Punjab Kings,Rajasthan Royals,2,Tom Kohler-Cadmore,18,23,2,1,78.26,out,27
Rajasthan Royals Vs Punjab Kings,Rajasthan Royals,1,Yashasvi Jaiswal,4,4,1,0,100.00,out,27
Lucknow Super Giants Vs Mumbai Indians,Mumbai Indians,8,Romario Shepherd,1,1,0,0,100.00,not_out,38
Lucknow Super Giants Vs Mumbai Indians,Mumbai Indians,7,Naman Dhir,62,28,4,5,221.42,not_out,38
Lucknow Super Giants Vs Mumbai Indians,Mumbai Indians,6,Nehal Wadhera,1,3,0,0,33.33,out,38
Lucknow Super Giants Vs Mumbai Indians,Mumbai Indians,5,Hardik Pandya (c),16,13,1,1,123.07,out,38
Lucknow Super Giants Vs Mumbai Indians,Mumbai Indians,4,Ishan Kishan ,14,15,1,0,93.33,out,38
Lucknow Super Giants Vs Mumbai Indians,Mumbai Indians,3,Suryakumar Yadav,0,3,0,0,0.00,out,38
Lucknow Super Giants Vs Mumbai Indians,Mumbai Indians,2,Dewald Brevis,23,20,1,2,115.00,out,38
Lucknow Super Giants Vs Mumbai Indians,Mumbai Indians,1,Rohit Sharma,68,38,10,3,178.94,out,38
Lucknow Super Giants Vs Mumbai Indians,Lucknow Super Giants,8,Krunal Pandya,12,7,1,1,171.42,not_out,38
Lucknow Super Giants Vs Mumbai Indians,Lucknow Super Giants,7,Ayush Badoni,22,10,1,2,220.00,not_out,38
Lucknow Super Giants Vs Mumbai Indians,Lucknow Super Giants,6,Arshad Khan,0,1,0,0,0.00,out,38
Lucknow Super Giants Vs Mumbai Indians,Lucknow Super Giants,5,Nicholas Pooran,75,29,5,8,258.62,out,38
Lucknow Super Giants Vs Mumbai Indians,Lucknow Super Giants,4,Deepak Hooda,11,9,1,0,122.22,out,38
Lucknow Super Giants Vs Mumbai Indians,Lucknow Super Giants,3,Marcus Stoinis,28,22,5,0,127.27,out,38
Lucknow Super Giants Vs Mumbai Indians,Lucknow Super Giants,2,Devdutt Padikkal,0,1,0,0,0.00,out,38
Lucknow Super Giants Vs Mumbai Indians,Lucknow Super Giants,1,KL Rahul (c),55,41,3,3,134.14,out,38
Royal Challengers Bengaluru Vs Chennai Super Kings,Chennai Super Kings,9,Shardul Thakur,1,2,0,0,50.00,not_out,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Chennai Super Kings,8,MS Dhoni ,25,13,3,1,192.30,out,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Chennai Super Kings,7,Mitchell Santner,3,4,0,0,75.00,out,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Chennai Super Kings,6,Ravindra Jadeja,42,22,3,3,190.90,not_out,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Chennai Super Kings,5,Shivam Dube,7,15,0,0,46.66,out,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Chennai Super Kings,4,Ajinkya Rahane,33,22,3,1,150.00,out,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Chennai Super Kings,3,Daryl Mitchell,4,6,0,0,66.66,out,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Chennai Super Kings,2,Rachin Ravindra,61,37,5,3,164.86,out,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Chennai Super Kings,1,Ruturaj Gaikwad (c),0,1,0,0,0.00,out,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Royal Challengers Bengaluru,7,Mahipal Lomror,0,1,0,0,0.00,not_out,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Royal Challengers Bengaluru,6,Glenn Maxwell,16,5,2,1,320.00,out,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Royal Challengers Bengaluru,5,Dinesh Karthik ,14,6,1,1,233.33,out,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Royal Challengers Bengaluru,4,Cameron Green,38,17,3,3,223.52,not_out,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Royal Challengers Bengaluru,3,Rajat Patidar,41,23,2,4,178.26,out,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Royal Challengers Bengaluru,2,Faf du Plessis (c),54,39,3,3,138.46,out,1
Royal Challengers Bengaluru Vs Chennai Super Kings,Royal Challengers Bengaluru,1,Virat Kohli,47,29,3,4,162.06,out,1
Punjab Kings Vs Sunrisers Hyderabad,Sunrisers Hyderabad,8,Sanvir Singh,6,4,1,0,150.00,not_out,23
Punjab Kings Vs Sunrisers Hyderabad,Sunrisers Hyderabad,7,Abdul Samad,11,8,0,1,137.50,not_out,23
Punjab Kings Vs Sunrisers Hyderabad,Sunrisers Hyderabad,6,Shahbaz Ahmed,3,6,0,0,50.00,out,23
Punjab Kings Vs Sunrisers Hyderabad,Sunrisers Hyderabad,5,Heinrich Klaasen ,42,26,3,2,161.53,out,23
Punjab Kings Vs Sunrisers Hyderabad,Sunrisers Hyderabad,4,Nitish Kumar Reddy,37,25,1,3,148.00,out,23
Punjab Kings Vs Sunrisers Hyderabad,Sunrisers Hyderabad,3,Rahul Tripathi,33,18,4,2,183.33,out,23
Punjab Kings Vs Sunrisers Hyderabad,Sunrisers Hyderabad,2,Abhishek Sharma,66,28,5,6,235.71,out,23
Punjab Kings Vs Sunrisers Hyderabad,Sunrisers Hyderabad,1,Travis Head,0,1,0,0,0.00,out,23
Punjab Kings Vs Sunrisers Hyderabad,Punjab Kings,7,Shivam Singh,2,3,0,0,66.66,not_out,23
Punjab Kings Vs Sunrisers Hyderabad,Punjab Kings,6,Ashutosh Sharma,2,3,0,0,66.66,out,23
Punjab Kings Vs Sunrisers Hyderabad,Punjab Kings,5,Jitesh Sharma (c),32,15,2,2,213.33,not_out,23
Punjab Kings Vs Sunrisers Hyderabad,Punjab Kings,4,Shashank Singh,2,4,0,0,50.00,out,23
Punjab Kings Vs Sunrisers Hyderabad,Punjab Kings,3,Rilee Rossouw,49,24,3,4,204.16,out,23
Punjab Kings Vs Sunrisers Hyderabad,Punjab Kings,2,Prabhsimran Singh,71,45,7,4,157.77,out,23
Punjab Kings Vs Sunrisers Hyderabad,Punjab Kings,1,Atharva Taide,46,27,5,2,170.37,out,23
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,4,Shreyas Iyer (c),58,24,5,4,241.66,not_out,3
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,3,Venkatesh Iyer,51,28,5,4,182.14,not_out,3
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,2,Sunil Narine,21,16,4,0,131.25,out,3
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,1,Rahmanullah Gurbaz ,23,14,2,2,164.28,out,3
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,11,Vijayakanth Viyaskanth,7,5,0,0,140.00,not_out,3
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,10,Bhuvneshwar Kumar,0,4,0,0,0.00,out,3
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,9,Pat Cummins (c),30,24,2,2,125.00,out,3
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,8,Sanvir Singh,0,1,0,0,0.00,out,3
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,7,Abdul Samad,16,12,0,2,133.33,out,3
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,6,Heinrich Klaasen ,32,21,3,1,152.38,out,3
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,5,Shahbaz Ahmed,0,1,0,0,0.00,out,3
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,4,Nitish Kumar Reddy,9,10,1,0,90.00,out,3
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,3,Rahul Tripathi,55,35,7,1,157.14,out,3
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,2,Abhishek Sharma,3,4,0,0,75.00,out,3
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,1,Travis Head,0,2,0,0,0.00,out,3
Royal Challengers Bengaluru Vs Rajasthan Royals,Rajasthan Royals,8,Ravichandran Ashwin,0,0,0,0,-,not_out,19
Royal Challengers Bengaluru Vs Rajasthan Royals,Rajasthan Royals,7,Rovman Powell,16,8,2,1,200.00,not_out,19
Royal Challengers Bengaluru Vs Rajasthan Royals,Rajasthan Royals,6,Shimron Hetmyer,26,14,3,1,185.71,out,19
Royal Challengers Bengaluru Vs Rajasthan Royals,Rajasthan Royals,5,Dhruv Jurel,8,8,1,0,100.00,out,19
Royal Challengers Bengaluru Vs Rajasthan Royals,Rajasthan Royals,4,Riyan Parag,36,26,2,2,138.46,out,19
Royal Challengers Bengaluru Vs Rajasthan Royals,Rajasthan Royals,3,Sanju Samson (c),17,13,0,1,130.76,out,19
Royal Challengers Bengaluru Vs Rajasthan Royals,Rajasthan Royals,2,Tom Kohler-Cadmore,20,15,4,0,133.33,out,19
Royal Challengers Bengaluru Vs Rajasthan Royals,Rajasthan Royals,1,Yashasvi Jaiswal,45,30,8,0,150.00,out,19
Royal Challengers Bengaluru Vs Rajasthan Royals,Royal Challengers Bengaluru,9,Karn Sharma,5,4,1,0,125.00,out,19
Royal Challengers Bengaluru Vs Rajasthan Royals,Royal Challengers Bengaluru,8,Swapnil Singh,9,4,0,1,225.00,not_out,19
Royal Challengers Bengaluru Vs Rajasthan Royals,Royal Challengers Bengaluru,7,Dinesh Karthik ,11,13,1,0,84.61,out,19
Royal Challengers Bengaluru Vs Rajasthan Royals,Royal Challengers Bengaluru,6,Mahipal Lomror,32,17,2,2,188.23,out,19
Royal Challengers Bengaluru Vs Rajasthan Royals,Royal Challengers Bengaluru,5,Glenn Maxwell,0,1,0,0,0.00,out,19
Royal Challengers Bengaluru Vs Rajasthan Royals,Royal Challengers Bengaluru,4,Rajat Patidar,34,22,2,2,154.54,out,19
Royal Challengers Bengaluru Vs Rajasthan Royals,Royal Challengers Bengaluru,3,Cameron Green,27,21,2,1,128.57,out,19
Royal Challengers Bengaluru Vs Rajasthan Royals,Royal Challengers Bengaluru,2,Faf du Plessis (c),17,14,2,1,121.42,out,19
Royal Challengers Bengaluru Vs Rajasthan Royals,Royal Challengers Bengaluru,1,Virat Kohli,33,24,3,1,137.50,out,19
Sunrisers Hyderabad Vs Rajasthan Royals,Rajasthan Royals,9,Trent Boult,0,3,0,0,0.00,not_out,40
Sunrisers Hyderabad Vs Rajasthan Royals,Rajasthan Royals,8,Rovman Powell,6,12,0,0,50.00,out,40
Sunrisers Hyderabad Vs Rajasthan Royals,Rajasthan Royals,7,Shimron Hetmyer,4,10,0,0,40.00,out,40
Sunrisers Hyderabad Vs Rajasthan Royals,Rajasthan Royals,6,Ravichandran Ashwin,0,3,0,0,0.00,out,40
Sunrisers Hyderabad Vs Rajasthan Royals,Rajasthan Royals,5,Dhruv Jurel,56,35,7,2,160.00,not_out,40
Sunrisers Hyderabad Vs Rajasthan Royals,Rajasthan Royals,4,Riyan Parag,6,10,0,0,60.00,out,40
Sunrisers Hyderabad Vs Rajasthan Royals,Rajasthan Royals,3,Sanju Samson (c),10,11,1,0,90.90,out,40
Sunrisers Hyderabad Vs Rajasthan Royals,Rajasthan Royals,2,Tom Kohler-Cadmore,10,16,1,0,62.50,out,40
Sunrisers Hyderabad Vs Rajasthan Royals,Rajasthan Royals,1,Yashasvi Jaiswal,42,21,4,3,200.00,out,40
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,10,Jaydev Unadkat,5,2,1,0,250.00,out,40
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,9,Pat Cummins (c),5,5,1,0,100.00,not_out,40
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,8,Shahbaz Ahmed,18,18,0,1,100.00,out,40
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,7,Abdul Samad,0,1,0,0,0.00,out,40
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,6,Nitish Kumar Reddy,5,10,0,0,50.00,out,40
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,5,Heinrich Klaasen ,50,34,0,4,147.05,out,40
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,4,Aiden Markram,1,2,0,0,50.00,out,40
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,3,Rahul Tripathi,37,15,5,2,246.66,out,40
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,2,Abhishek Sharma,12,5,1,1,240.00,out,40
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,1,Travis Head,34,28,3,1,121.42,out,40
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,4,Shreyas Iyer (c),6,3,1,0,200.00,not_out,3
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,3,Venkatesh Iyer,52,26,4,3,200.00,not_out,3
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,2,Sunil Narine,6,2,0,1,300.00,out,3
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,1,Rahmanullah Gurbaz ,39,32,5,2,121.87,out,3
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,11,Bhuvneshwar Kumar,0,1,0,0,0.00,not_out,3
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,10,Jaydev Unadkat,4,11,0,0,36.36,out,3
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,9,Pat Cummins (c),24,19,2,1,126.31,out,3
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,8,Abdul Samad,4,4,0,0,100.00,out,3
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,7,Shahbaz Ahmed,8,7,0,1,114.28,out,3
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,6,Heinrich Klaasen ,16,17,1,0,94.11,out,3
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,5,Nitish Kumar Reddy,13,10,1,1,130.00,out,3
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,4,Aiden Markram,20,23,3,0,86.95,out,3
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,3,Rahul Tripathi,9,13,1,0,69.23,out,3
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,2,Travis Head,0,1,0,0,0.00,out,3
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,1,Abhishek Sharma,2,5,0,0,40.00,out,3
